Tracking Number,Reference Number(s),Status,Manifest Date,Shipper Name,Shipper City,Shipper State/Province,Shipper Country,Ship To Name,Ship To City,Ship To State/Province,Ship To Country,Service,Scheduled Delivery,Images,Alternate Address Delivery Notification Failed,Alternate Delivery Address Name,Alternate Delivery Address Phone,Alternate Delivery Address Address Line 1,Alternate Delivery Address Address Line 2,Alternate Delivery Address Address Line 3,Alternate Delivery Address City,Alternate Delivery Address State,Alternate Delivery Address Postal Code,Alternate Delivery Address Country,Alternate Tracking Number,Appointment Made,Appointment Requested Date,Appointment Requested Start Time,Appointment Requested End Time,Arrival Date,Arrival Time,Bill To Name,Bill To Account Number,Bill To Address Line 1,Bill To Address Line 2,Bill To Address Line 3,Bill To Address Line 4,Bill To Address Line 5,Bill To City,Bill To State,Bill To Postal Code,Bill To Country,Bill To Email Address,Bill To Fax Number,Bond Date,Bond Number,Booking Number,Carrier,Chargeable Weight,Chargeable Weight UOM,Charges,Clinical Trials Indicator,COD Amount Collected,COD Amount Due,COD Collected Currency Type,Commercial Invoice Removal,Commodity,Container,Customer Pickup,Date Delivered,Declared Value,Delivery Location,Delivery Preference,Delivery Time,Departure Date,Departure Time,Description of Goods,Doc Indicator,Earliest Delivery Time,Exception Description,Exception Resolution,Exception Status Description,Flight/Voyage,Handling Unit,Harmonized Code,Hazardous Materials,Hold at UPS Access Point Shipments,In-bond Entry Code,Infectious Substances Category A,Insured  Value,Insured Value Currency Code,Label Delivery Method,Large Package,Liftgate on Pickup,Liftgate on Delivery,Load Type,Location Assured,Manufacture Country,Master Bill of Lading,Mode of Transportation,Number of Pieces,Number of Pieces - UOM,Original Scheduled Delivery Date,Original Scheduled Delivery Time,Package Height,Package Length,Package Width,Package Dimensional Weight,Package Reference No. 1,Package Reference No. 2,Package Reference No. 3,Package Reference No. 4,Package Reference No. 5,Package Reference No. Type 1,Package Reference No. Type 2,Package Reference No. Type 3,Package Reference No. Type 4,Package Reference No. Type 5,Package Release Code Required,Pickup By Date,Pickup Preference,Postal Service Tracking ID,Product,Product Line,Received By,Residential Address,Return Services,Return To Name,Return To Attention,Return To Address Line 1,Return To Address Line 2,Return To Address Line 3,Return To City,Return To State/Province,Return To Postal Code,Return To Country,Return To Telephone,Return To Sender Indicator,Revised Door ETA Date,Revised Door ETA Time,Saturday Delivery,Scheduled Delivery Time,Ship To Attention,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship-to Address Line 4,Ship-to Address Line 5,Ship To Postal Code,Ship-to Email Address,Ship-to Fax Number,Ship To Telephone,Shipment Activity Date,Shipment Activity Time,Shipment Charge Type,Shipment Reference No. 1,Shipment Reference No. 2,Shipment Reference No. Type 1,Shipment Reference No. Type 2,Shipment Type,Shipment Volume,Ship To Location,Shipper Attention,Shipper Address Line 1,Shipper Address Line 2,Shipper Address Line 3,Shipper Address Line 4,Shipper Address Line 5,Shipper Postal Code,Shipper Email Address,Shipper Fax Number,Special Instructions,UPS carbon neutral,UPS Company Principal Customer Identification Number,UPS Delivery Intercept Indicator,UPS Delivery Intercept Origin,UPS Delivery Intercept Name of Requester,UPS Delivery Intercept Request Date,UPS Delivery Intercept Request Time,UPS Delivery Intercept Status,UPS Delivery Intercept Type,New Delivery Customer Name,New Delivery Attention,New Delivery Address 1,New Delivery Address 2,New Delivery Address 3,New Delivery City,New Delivery State/Province,New Delivery Postal Code,New Delivery Country,UPS Import Control Indicator,UPS Import Control Label Type,UPS Premium Care(TM),UPS Returns Flexible Access,UPS Returns ® Exchange,Vessel,Weight
1Z30151R0344361558,658635,Delivered,7/21/2017,,MEMPHIS,TN,US,,NAPLES,FL,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,12:25 PM,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,DO,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ROPO DE'COR INC,,TINA & ANTHONY,,,,34102,,,,7/25/2017,12:25 PM,Prepaid,,658635,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344392622,658268,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,VILLA GROVE,CO,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,SCHEDULED DELIVERY DATE HAS BEEN RECALCULATED,PACKAGE TENDERED TO UPS ON A DATE DIFFERENT THAN ORIGINALLY PROVIDED BY THE SHIPPER,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,21,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ALWAYS AZUL POTTERY,,ALAN YARMARK,,,,81155,,,,7/26/2017,8:04 AM,Prepaid,,658268,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344433542,FAX 7-19-17|00658875|FAX 7-19-17|00658875|10158526|MEM0000000935159,In Transit,7/21/2017,,MEMPHIS,TN,US,,BODEGA BAY,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,14,,7/27/2017,By End Of Day,8,21,18,,FAX 7-19-17,658875,,10158526,MEM0000000935159,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,TIDES WHARF GIFT SHOP  THE,,ATTN: CHRIS WEDEL,,,,94923,,,,7/21/2017,5:48 PM,Prepaid,FAX 7-19-17,658875,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344477022,658642,In Transit,7/21/2017,,MEMPHIS,TN,US,,SILVER CITY,NM,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,COUNTRY GIRL,,KENDRA,,,,88061,,,,7/21/2017,8:06 PM,Prepaid,,658642,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344477595,658642,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,SILVER CITY,NM,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,COUNTRY GIRL,,KENDRA,,,,88061,,,,7/26/2017,8:43 AM,Prepaid,,658642,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344486763,658638,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,PRESCOTT,AZ,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,18,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,HART'S DECOR,,SEAN HART,,,,86305,,,,7/26/2017,4:11 AM,Prepaid,,658638,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344490507,658635,Delivered,7/21/2017,,MEMPHIS,TN,US,,NAPLES,FL,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,12:25 PM,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,DO,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ROPO DE'COR INC,,TINA & ANTHONY,,,,34102,,,,7/25/2017,12:25 PM,Prepaid,,658635,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344533961,658642,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,SILVER CITY,NM,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,COUNTRY GIRL,,KENDRA,,,,88061,,,,7/26/2017,9:26 AM,Prepaid,,658642,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344556302,133565|00658634|133565|00658634|10158548|MEM0000000932436,In Transit,7/21/2017,,MEMPHIS,TN,US,,REEDSPORT,OR,US,UPS Ground,7/28/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,3,,7/28/2017,By End Of Day,10,25,12,,133565,658634,,10158548,MEM0000000932436,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,REEDSPORT PHARMACY,,LESLIE MCLAIN,,,,97467,,,,7/21/2017,6:11 PM,Prepaid,133565,658634,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,6.20 LBS
1Z30151R0344568380,458963KD|00658641|458963KD|00658641|10158364|MEM0000000935226,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,HAMMONDSPORT,NY,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,128709,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,8,,7/26/2017,By End Of Day,12,30,20,,458963KD,658641,,10158364,MEM0000000935226,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,BULLY HILL VINEYARDS,,LILLIAN TAYLOR,,,,14840,,,,7/26/2017,6:40 AM,Freight Collect,458963KD,658641,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,22.60 LBS
1Z30151R0344570804,658268,In Transit,7/21/2017,,MEMPHIS,TN,US,,VILLA GROVE,CO,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,SCHEDULED DELIVERY DATE HAS BEEN RECALCULATED,PACKAGE TENDERED TO UPS ON A DATE DIFFERENT THAN ORIGINALLY PROVIDED BY THE SHIPPER,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,21,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ALWAYS AZUL POTTERY,,ALAN YARMARK,,,,81155,,,,7/26/2017,5:17 AM,Prepaid,,658268,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0344582944,658635,Delivered,7/21/2017,,MEMPHIS,TN,US,,NAPLES,FL,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,12:25 PM,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,DO,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ROPO DE'COR INC,,TINA & ANTHONY,,,,34102,,,,7/25/2017,12:25 PM,Prepaid,,658635,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344586986,658638,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,PRESCOTT,AZ,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,18,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,HART'S DECOR,,SEAN HART,,,,86305,,,,7/26/2017,4:16 AM,Prepaid,,658638,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344596411,RP DAMAGED|00658307|RP DAMAGED|00658307|10158549|MEM0000000935242,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,RED RIVER,NM,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/26/2017,By End Of Day,10,20,15,,RP DAMAGED,658307,,10158549,MEM0000000935242,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ALL SEASONS INC,,DANIEL LAMB,,,,87558,,,,7/26/2017,8:40 AM,Prepaid,RP DAMAGED,658307,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,10.40 LBS
1Z30151R0344598900,658638,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,PRESCOTT,AZ,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,SCHEDULED DELIVERY DATE HAS BEEN RECALCULATED,PACKAGE TENDERED TO UPS ON A DATE DIFFERENT THAN ORIGINALLY PROVIDED BY THE SHIPPER,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,18,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,HART'S DECOR,,SEAN HART,,,,86305,,,,7/26/2017,4:16 AM,Prepaid,,658638,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344613633,658639,In Transit,7/21/2017,,MEMPHIS,TN,US,,COSTA MESA,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,NANCY TOLER,,NANCY TOLER,,,,92627,,,,7/21/2017,6:23 PM,Prepaid,,658639,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0344616738,658639,In Transit,7/21/2017,,MEMPHIS,TN,US,,COSTA MESA,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,NANCY TOLER,,NANCY TOLER,,,,92627,,,,7/21/2017,6:22 PM,Prepaid,,658639,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344657042,443253MP|00658311|443253MP|00658311|10158458|MEM0000000935233,In Transit,7/21/2017,,MEMPHIS,TN,US,,MOAB,UT,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/27/2017,By End Of Day,12,30,20,,443253MP,658311,,10158458,MEM0000000935233,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,MISSION ROCK TRADING POST,,WYNDEE HANSEN,,,,84532,,,,7/21/2017,6:34 PM,Prepaid,443253MP,658311,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,17.80 LBS
1Z30151R0344657195,658268,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,VILLA GROVE,CO,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,SCHEDULED DELIVERY DATE HAS BEEN RECALCULATED,PACKAGE TENDERED TO UPS ON A DATE DIFFERENT THAN ORIGINALLY PROVIDED BY THE SHIPPER,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,21,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ALWAYS AZUL POTTERY,,ALAN YARMARK,,,,81155,,,,7/26/2017,8:14 AM,Prepaid,,658268,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0344681426,658639,In Transit,7/21/2017,,MEMPHIS,TN,US,,COSTA MESA,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,NANCY TOLER,,NANCY TOLER,,,,92627,,,,7/21/2017,6:19 PM,Prepaid,,658639,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0344694583,658635,Delivered,7/21/2017,,MEMPHIS,TN,US,,NAPLES,FL,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,12:25 PM,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,DO,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ROPO DE'COR INC,,TINA & ANTHONY,,,,34102,,,,7/25/2017,12:25 PM,Prepaid,,658635,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344700780,RP DAMAGED|00658632|RP DAMAGED|00658632|10158569|MEM0000000932434,Delivered,7/21/2017,,MEMPHIS,TN,US,,MARIETTA,OH,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,GARAGE,UPS will Deliver,2:36 PM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/25/2017,By End Of Day,7,18,7,,RP DAMAGED,658632,,10158569,MEM0000000932434,,,,,,NO,,UPS will Pick up,,,,,YES,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,LARRY UHRIG,,LARRY UHRIG,,,,45750,,,,7/25/2017,2:36 PM,Prepaid,RP DAMAGED,658632,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,1.60 LBS
1Z30151R0344704151,FAX 7-19-17|00658875|FAX 7-19-17|00658875|10158526|MEM0000000935160,In Transit,7/21/2017,,MEMPHIS,TN,US,,BODEGA BAY,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,14,,7/27/2017,By End Of Day,8,21,18,,FAX 7-19-17,658875,,10158526,MEM0000000935160,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,TIDES WHARF GIFT SHOP  THE,,ATTN: CHRIS WEDEL,,,,94923,,,,7/21/2017,5:48 PM,Prepaid,FAX 7-19-17,658875,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,11.00 LBS
1Z30151R0344718244,658638,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,PRESCOTT,AZ,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,18,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,HART'S DECOR,,SEAN HART,,,,86305,,,,7/26/2017,4:16 AM,Prepaid,,658638,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0344738955,658633,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,SUGARCREEK,OH,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,THE RECEIVING BUSINESS WAS CLOSED.,YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,15,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,J A B ZIMMERMAN,,BETTIE ZIMMERMAN,1900 ST ROUTE 39,,,44681,,,,7/26/2017,4:47 AM,Prepaid,,658633,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,13.00 LBS
1Z30151R0344770428,RP DAMAGED|00658307|RP DAMAGED|00658307|10158549|MEM0000000935243,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,RED RIVER,NM,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/26/2017,By End Of Day,9,35,12,,RP DAMAGED,658307,,10158549,MEM0000000935243,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,ALL SEASONS INC,,DANIEL LAMB,,,,87558,,,,7/26/2017,8:44 AM,Prepaid,RP DAMAGED,658307,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.80 LBS
1Z30151R0344773103,FAX 7-19-17|00658875|FAX 7-19-17|00658875|10158526|MEM0000000935155,In Transit,7/21/2017,,MEMPHIS,TN,US,,BODEGA BAY,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,14,,7/27/2017,By End Of Day,26,26,5,,FAX 7-19-17,658875,,10158526,MEM0000000935155,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,TIDES WHARF GIFT SHOP  THE,,ATTN: CHRIS WEDEL,,,,94923,,,,7/21/2017,5:47 PM,Prepaid,FAX 7-19-17,658875,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,9.00 LBS
